,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3185,1976,Boat,south africa,,,N,05,02,1976-05-02,,other/NA,,competing,Other
3186,1976,Invalid,usa,,,UNKNOWN,04,28,1976-04-28,,other/NA,P.M.,,Other
3187,1976,Unprovoked,usa,M,21 or 26,N,03,12,1976-03-12,21.0,other/NA,,standing,standing
3188,1976,Boat,south africa,,,N,03,12,1976-03-12,,other/NA,P.M.,fishing,fishing
3189,1976,Boat,south africa,,,N,03,09,1976-03-09,,white shark,,,Other
3190,1976,Boat,south africa,,,N,03,02,1976-03-02,,white shark,,,Other
3191,1976,Boat,south africa,,,N,02,03,1976-02-03,,white shark,,shark watching,Other
3192,1976,Provoked,south africa,,,N,01,13,1976-01-13,,other/NA,,shark fishing,Other
3193,1976,Unprovoked,australia,F,,N,01,12,1976-01-12,,other/NA,,,Other
3194,1976,Provoked,south africa,,,N,01,11,1976-01-11,,white shark,P.M.,fishing,fishing
3195,1976,Unprovoked,usa,M,25,N,01,08,1976-01-08,25.0,other/NA,,spearfishing,spearfishing
3196,1976,Unprovoked,new zealand,M,,Y,01,02,1976-01-02,,bronze whaler shark,,spearfishing,spearfishing
3198,1975,Boat,australia,,,N,12,29,1975-12-29,,other/NA,,attempting,Other
3199,1975,Unprovoked,usa,M,27,N,12,06,1975-12-06,27.0,white shark,,scuba diving,scuba diving
3200,1975,Provoked,australia,M,35,N,12,02,1975-12-02,35.0,other/NA,,filming,Other
3201,1975,Unprovoked,australia,M,20,N,11,19,1975-11-19,20.0,other/NA,P.M.,standing,standing
3202,1975,Unprovoked,south africa,M,33,N,11,19,1975-11-19,33.0,other/NA,P.M.,standing,standing
3203,1975,Unprovoked,australia,M,,N,11,07,1975-11-07,,other/NA,P.M.,,Other
3204,1975,Unprovoked,usa,M,18,N,11,02,1975-11-02,18.0,other/NA,A.M.,surfing,surfing
3205,1975,Invalid,usa,M,,UNKNOWN,10,21,1975-10-21,,other/NA,,surf fishing,Other
3206,1975,Unprovoked,australia,M,20,N,10,12,1975-10-12,20.0,other/NA,,surfing,surfing
3207,1975,Invalid,usa,,,UNKNOWN,10,04,1975-10-04,,other/NA,,surfing,surfing
3208,1975,Unprovoked,south africa,M,21,N,09,01,1975-09-01,21.0,other/NA,,paddleskiing,Other
3209,1975,Unprovoked,south africa,M,19,N,08,17,1975-08-17,19.0,white shark,,surfing,surfing
3210,1975,Unprovoked,usa,M,20,N,08,12,1975-08-12,20.0,other/NA,,floating,Other
3211,1975,Unprovoked,usa,M,44,N,08,09,1975-08-09,44.0,white shark,,free diving,free diving
3212,1975,Unprovoked,hong kong,M,24,N,08,04,1975-08-04,24.0,other/NA,,freedom swimming,Other
3213,1975,Sea Disaster,usa,F,62,Y,07,30,1975-07-30,62.0,other/NA,A.M.,,Other
3214,1975,Unprovoked,australia,M,37,Y,07,30,1975-07-30,37.0,white shark,,scuba diving,scuba diving
3215,1975,Unprovoked,usa,M,24,N,07,26,1975-07-26,24.0,other/NA,P.M.,free diving,free diving
3216,1975,Unprovoked,australia,M,21,N,07,26,1975-07-26,21.0,other/NA,,surfing,surfing
3217,1975,Unprovoked,usa,M,23,N,07,23,1975-07-23,23.0,white shark,,scuba diving,scuba diving
3218,1975,Unprovoked,usa,M,34,N,07,19,1975-07-19,34.0,white shark,,hookah diving,Other
3219,1975,Unprovoked,usa,F,14,N,07,15,1975-07-15,14.0,other/NA,,swimming,swimming
3220,1975,Provoked,australia,M,29,N,07,05,1975-07-05,29.0,other/NA,,spearfishing,spearfishing
3221,1975,Unprovoked,usa,M,16,N,07,04,1975-07-04,16.0,other/NA,A.M.,surfing,surfing
3222,1975,Unprovoked,usa,M,18,N,06,23,1975-06-23,18.0,other/NA,P.M.,swimming,swimming
3223,1975,Unprovoked,usa,F,15,N,06,23,1975-06-23,15.0,other/NA,,standing,standing
3224,1975,Unprovoked,usa,M,27,N,06,15,1975-06-15,27.0,other/NA,,swimming,swimming
3225,1975,Unprovoked,usa,M,20,N,06,02,1975-06-02,20.0,other/NA,,surfing,surfing
3226,1975,Provoked,usa,M,,N,06,01,1975-06-01,,other/NA,P.M.,,Other
3227,1975,Unprovoked,usa,M,17,N,05,25,1975-05-25,17.0,other/NA,,surfing,surfing
3228,1975,Unprovoked,usa,F,10,N,05,20,1975-05-20,10.0,other/NA,,bathing,bathing
3229,1975,Invalid,italy,M,37,UNKNOWN,04,25,1975-04-25,37.0,other/NA,A.M.,scuba diving,scuba diving
3230,1975,Invalid,south africa,M,,UNKNOWN,04,18,1975-04-18,,other/NA,,,Other
3231,1975,Unprovoked,south africa,M,,N,04,05,1975-04-05,,white shark,,spearfishing,spearfishing
3232,1975,Invalid,south africa,M,,UNKNOWN,03,29,1975-03-29,,other/NA,P.M.,swimming,swimming
3233,1975,Unprovoked,australia,F,,N,03,18,1975-03-18,,other/NA,P.M.,,Other
3234,1975,Unprovoked,usa,M,14,N,03,16,1975-03-16,14.0,other/NA,,floating,Other
3235,1975,Provoked,australia,,18,N,03,13,1975-03-13,18.0,bronze whaler shark,P.M.,diving,diving
3236,1975,Provoked,south africa,M,,N,03,09,1975-03-09,,other/NA,,attempting,Other
3237,1975,Sea Disaster,bangladesh,,,Y,03,01,1975-03-01,,other/NA,,,Other
3238,1975,Unprovoked,south africa,M,16,N,02,23,1975-02-23,16.0,other/NA,,surfing,surfing
3239,1975,Boat,south africa,,,N,02,14,1975-02-14,,other/NA,P.M.,,Other
3240,1975,Unprovoked,australia,M,12,Y,02,10,1975-02-10,12.0,white shark,P.M.,swimming,swimming
3241,1975,Unprovoked,australia,M,45,N,02,09,1975-02-09,45.0,other/NA,P.M.,crayfishing,Other
3242,1975,Unprovoked,australia,M,,N,02,07,1975-02-07,,other/NA,,,Other
3243,1975,Provoked,south africa,M,12,N,02,01,1975-02-01,12.0,other/NA,A.M.,fishing,fishing
